time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
6.801,0.46,0.4047,-0.0553,-0.004
6.851,0.4593,0.4047,-0.0546,-0.004
6.901,0.4593,0.4047,-0.0546,-0.004
6.951,0.4585,0.4047,-0.0538,-0.008
7.001,0.4578,0.4047,-0.0531,-0.014
7.051,0.457,0.4047,-0.0523,-0.014
7.101,0.457,0.4047,-0.0523,-0.014
7.151,0.4565,0.4047,-0.0518,-0.01
7.201,0.4554,0.4047,-0.0507,-0.014
7.251,0.4553,0.4047,-0.0506,-0.014
7.301,0.4552,0.4047,-0.0505,-0.01
7.351,0.4537,0.4047,-0.049,-0.014
7.401,0.4535,0.4047,-0.0488,-0.01
7.451,0.453,0.4047,-0.0483,-0.01
7.501,0.4526,0.4047,-0.0479,-0.008
7.551,0.4519,0.4047,-0.0472,-0.01
7.601,0.4519,0.4047,-0.0472,-0.008
7.651,0.4508,0.4047,-0.0461,-0.008
7.701,0.4508,0.4047,-0.0461,-0.008
7.751,0.4495,0.4047,-0.0448,-0.01
7.801,0.4488,0.4047,-0.0441,-0.01
7.851,0.4487,0.4047,-0.044,-0.01
7.901,0.4481,0.4047,-0.0434,-0.012
7.951,0.4475,0.4047,-0.0428,-0.012
8.001,0.4468,0.4047,-0.0421,-0.012
8.051,0.4463,0.4047,-0.0416,-0.012
8.101,0.4455,0.4047,-0.0408,-0.012
8.151,0.4448,0.4047,-0.0401,-0.014
8.201,0.4445,0.4047,-0.0398,-0.012
8.251,0.4439,0.4047,-0.0392,-0.012
8.301,0.4435,0.4047,-0.0388,-0.012
8.351,0.4432,0.4047,-0.0385,-0.012
8.401,0.4426,0.4047,-0.0379,-0.012
8.451,0.4417,0.4047,-0.037,-0.012
8.501,0.4409,0.4047,-0.0362,-0.012
8.551,0.4402,0.4047,-0.0355,-0.012
8.601,0.44,0.4047,-0.0353,-0.012
8.651,0.4398,0.4047,-0.0351,-0.012
8.701,0.439,0.4047,-0.0343,-0.012
8.751,0.4387,0.4047,-0.034,-0.012
8.801,0.4379,0.4047,-0.0332,-0.014
8.851,0.4378,0.4047,-0.0331,-0.014
8.901,0.4367,0.4047,-0.032,-0.014
8.951,0.4364,0.4047,-0.0317,-0.006
9.001,0.4359,0.4047,-0.0312,-0.006
9.051,0.4358,0.4047,-0.0311,-0.006
9.101,0.4357,0.4047,-0.031,-0.006
9.151,0.4345,0.4047,-0.0298,-0.006
9.201,0.4337,0.4047,-0.029,-0.01
9.251,0.4334,0.4047,-0.0287,-0.006
9.301,0.4329,0.4047,-0.0282,-0.01
9.351,0.4328,0.4047,-0.0281,-0.006
9.401,0.4323,0.4047,-0.0276,-0.01
9.451,0.4311,0.4047,-0.0264,-0.01
9.501,0.4308,0.4047,-0.0261,-0.01
9.551,0.4303,0.4047,-0.0256,-0.01
9.601,0.4294,0.4047,-0.0247,-0.01
9.651,0.4292,0.4047,-0.0245,-0.01
9.701,0.4287,0.4047,-0.024,-0.01
9.751,0.4282,0.4047,-0.0235,-0.01
9.801,0.4276,0.4047,-0.0229,-0.01
9.851,0.4276,0.4047,-0.0229,-0.01
9.901,0.4264,0.4047,-0.0217,-0.01
9.951,0.4253,0.4047,-0.0206,-0.01
10.001,0.4252,0.4047,-0.0205,-0.01
10.051,0.4242,0.4047,-0.0195,-0.01
10.101,0.424,0.4047,-0.0193,-0.01
10.151,0.424,0.4047,-0.0193,-0.01
10.201,0.4228,0.4047,-0.0181,-0.012
10.251,0.4217,0.4047,-0.017,-0.02
10.301,0.4217,0.4047,-0.017,-0.02
10.351,0.4205,0.4047,-0.0158,-0.02
