time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,48.376,47.81122699999997,0.4892,0.4047,0.0
0.401,48.352,47.81122699999997,0.4894,0.4047,0.0
0.451,48.132,47.80328400000004,0.4892,0.4047,-7.294117647058823
0.501,48.156,47.79804500000005,0.4892,0.4047,-7.294117647058823
0.551,48.352,47.79804500000005,0.4892,0.4047,-7.2
0.601,47.839,47.79010199999997,0.4892,0.4047,-7.2
0.651,47.692,47.79010199999997,0.4891,0.4047,-7.247058823529412
0.701,47.619,47.78215900000004,0.4892,0.4047,-7.247058823529412
0.751,47.619,47.77692000000005,0.4892,0.4047,7.105882352941176
0.801,47.912,47.77692000000005,0.4892,0.4047,7.105882352941176
0.851,47.814,47.774505548936084,0.4891,0.4047,7.105882352941176
0.901,48.083,47.774505548936084,0.4891,0.4047,-7.105882352941176
0.951,47.863,47.76478485596322,0.489,0.4047,-7.105882352941176
1.001,48.303,47.76478485596322,0.489,0.4047,-7.152941176470589
1.051,48.059,47.75227350000001,0.489,0.4047,-7.105882352941176
1.101,47.79,47.75227350000001,0.489,0.4047,-7.105882352941176
1.151,47.619,47.744349299999925,0.489,0.4047,-7.152941176470589
1.201,47.741,47.73912269999994,0.489,0.4047,-7.152941176470589
1.251,47.424,47.73912269999994,0.4889,0.4047,7.105882352941176
1.301,47.473,47.73119850000001,0.489,0.4047,0.0
1.351,47.497,47.73119850000001,0.489,0.4047,0.0
1.401,47.473,47.71774575106381,0.4891,0.4047,7.152941176470589
1.451,47.521,47.72610281612898,0.489,0.4047,7.152941176470589
1.501,47.448,47.72610281612898,0.489,0.4047,7.152941176470589
1.551,47.741,47.70458555106379,0.4891,0.4047,7.152941176470589
1.601,48.23,47.70458555106379,0.4891,0.4047,7.152941176470589
1.651,48.376,47.70197109999993,0.4891,0.4047,0.0
1.701,48.376,47.70197109999993,0.4891,0.4047,0.0
1.751,48.498,47.687973444036686,0.4892,0.4047,-7.294117647058823
1.801,49.621,47.687973444036686,0.4892,0.4047,-7.294117647058823
1.851,48.523,47.68461759999997,0.4892,0.4047,-7.294117647058823
1.901,47.204,47.68461759999997,0.4892,0.4047,-7.764705882352941
1.951,47.888,47.67540709999994,0.4892,0.4047,-7.764705882352941
2.001,47.521,47.67540709999994,0.4892,0.4047,7.247058823529412
2.051,47.668,47.63839609999993,0.4892,0.4047,-7.152941176470589
