time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.8415,0.2101,-0.6314,0.0
0.401,0.8415,0.2101,-0.6314,0.0
0.451,0.8402,0.2101,-0.6301,0.0
0.501,0.8402,0.2101,-0.6301,0.0
0.551,0.8401,0.2101,-0.63,0.0
0.601,0.8402,0.2101,-0.6301,0.0
0.651,0.8402,0.2101,-0.6301,0.0
0.701,0.8402,0.2101,-0.6301,0.0
0.751,0.8402,0.2101,-0.6301,0.0
0.801,0.8403,0.2101,-0.6302,0.0
0.851,0.8403,0.2101,-0.6302,0.0
0.901,0.8406,0.2101,-0.6305,0.0
0.951,0.8406,0.2101,-0.6305,0.0
1.001,0.8406,0.2101,-0.6305,0.0
1.051,0.8405,0.2101,-0.6304,0.0
1.101,0.8405,0.2101,-0.6304,0.0
1.151,0.8405,0.2101,-0.6304,0.0
1.201,0.8406,0.2101,-0.6305,0.0
1.251,0.8406,0.2101,-0.6305,0.0
1.301,0.8406,0.2101,-0.6305,0.0
1.356,0.8407,0.2101,-0.6306,0.0
1.405,0.8408,0.2101,-0.6307,0.0
1.455,0.8408,0.2101,-0.6307,0.0
1.505,0.8408,0.2101,-0.6307,0.0
1.555,0.8407,0.2101,-0.6306,0.0
1.605,0.8407,0.2101,-0.6306,0.0
1.655,0.8407,0.2101,-0.6306,0.0
1.705,0.8407,0.2101,-0.6306,0.0
1.755,0.8407,0.2101,-0.6306,0.0
1.805,0.8407,0.2101,-0.6306,0.0
1.855,0.8407,0.2101,-0.6306,0.0
1.905,0.8407,0.2101,-0.6306,0.0
1.955,0.8406,0.2101,-0.6305,0.0
2.005,0.8406,0.2101,-0.6305,0.0
2.055,0.8406,0.2101,-0.6305,0.0
2.105,0.8405,0.2101,-0.6304,0.0
2.155,0.8402,0.2101,-0.6301,0.0
2.205,0.8402,0.2101,-0.6301,0.0
2.255,0.8402,0.2101,-0.6301,0.0
2.305,0.8398,0.2101,-0.6297,0.0
2.355,0.8398,0.2101,-0.6297,0.0
2.405,0.8397,0.2101,-0.6296,0.0
2.455,0.8394,0.2101,-0.6293,-0.002
2.505,0.8392,0.2101,-0.6291,-0.002
2.555,0.839,0.2101,-0.6289,-0.004
2.605,0.8387,0.2101,-0.6286,-0.004
2.655,0.8386,0.2101,-0.6285,-0.004
2.705,0.8381,0.2101,-0.628,-0.004
2.755,0.8379,0.2101,-0.6278,-0.004
2.805,0.8376,0.2101,-0.6275,-0.004
2.855,0.8375,0.2101,-0.6274,-0.004
2.905,0.8375,0.2101,-0.6274,-0.004
2.955,0.8371,0.2101,-0.627,-0.004
3.005,0.837,0.2101,-0.6269,-0.004
3.055,0.8365,0.2101,-0.6264,-0.004
3.105,0.8364,0.2101,-0.6263,-0.004
3.155,0.8362,0.2101,-0.6261,-0.004
3.205,0.8361,0.2101,-0.626,-0.002
3.255,0.8359,0.2101,-0.6258,-0.002
3.305,0.8358,0.2101,-0.6257,-0.002
3.355,0.8357,0.2101,-0.6256,-0.002
3.405,0.8356,0.2101,-0.6255,-0.002
3.455,0.8354,0.2101,-0.6253,-0.002
3.505,0.8354,0.2101,-0.6253,-0.002
3.555,0.8352,0.2101,-0.6251,-0.002
3.605,0.8348,0.2101,-0.6247,-0.002
3.655,0.8348,0.2101,-0.6247,-0.002
3.705,0.8344,0.2101,-0.6243,-0.002
3.755,0.8343,0.2101,-0.6242,-0.002
3.805,0.8337,0.2101,-0.6236,-0.004
3.855,0.8337,0.2101,-0.6236,-0.004
3.905,0.8333,0.2101,-0.6232,-0.004
3.955,0.8329,0.2101,-0.6228,-0.008
4.005,0.8329,0.2101,-0.6228,-0.008
4.055,0.8325,0.2101,-0.6224,-0.008
4.105,0.8323,0.2101,-0.6222,-0.008
4.155,0.8322,0.2101,-0.6221,-0.004
4.205,0.8318,0.2101,-0.6217,-0.008
4.255,0.8317,0.2101,-0.6216,-0.004
4.305,0.8316,0.2101,-0.6215,-0.004
4.355,0.8314,0.2101,-0.6213,-0.004
4.405,0.8314,0.2101,-0.6213,-0.002
4.455,0.8314,0.2101,-0.6213,-0.002
4.505,0.8314,0.2101,-0.6213,-0.002
4.555,0.8314,0.2101,-0.6213,-0.002
4.605,0.8314,0.2101,-0.6213,0.0
4.655,0.8314,0.2101,-0.6213,0.0
4.705,0.8314,0.2101,-0.6213,0.0
4.755,0.8314,0.2101,-0.6213,0.0
4.805,0.8314,0.2101,-0.6213,0.0
4.855,0.8314,0.2101,-0.6213,0.0
4.905,0.8314,0.2101,-0.6213,0.0
4.955,0.8314,0.2101,-0.6213,0.0
5.005,0.8314,0.2101,-0.6213,0.0
5.055,0.8314,0.2101,-0.6213,0.0
5.105,0.8314,0.2101,-0.6213,0.0
5.155,0.8314,0.2101,-0.6213,0.0
5.205,0.8313,0.2101,-0.6212,0.0
5.255,0.8313,0.2101,-0.6212,0.0
5.305,0.8313,0.2101,-0.6212,0.0
5.355,0.8312,0.2101,-0.6211,0.0
5.406,0.8311,0.2101,-0.621,0.0
5.455,0.8311,0.2101,-0.621,0.0
5.505,0.8311,0.2101,-0.621,0.0
5.555,0.8309,0.2101,-0.6208,0.0
5.605,0.8309,0.2101,-0.6208,0.0
5.655,0.8309,0.2101,-0.6208,0.0
5.705,0.8307,0.2101,-0.6206,0.0
5.755,0.8307,0.2101,-0.6206,0.0
5.805,0.8306,0.2101,-0.6205,0.0
5.855,0.8306,0.2101,-0.6205,0.0
5.905,0.8306,0.2101,-0.6205,0.0
5.955,0.8304,0.2101,-0.6203,0.0
6.005,0.8304,0.2101,-0.6203,0.0
6.055,0.8304,0.2101,-0.6203,0.0
6.105,0.83,0.2101,-0.6199,0.0
6.155,0.8299,0.2101,-0.6198,0.0
6.205,0.8293,0.2101,-0.6192,-0.002
6.255,0.8291,0.2101,-0.619,-0.002
6.305,0.8289,0.2101,-0.6188,-0.004
6.355,0.8287,0.2101,-0.6186,-0.004
6.405,0.8287,0.2101,-0.6186,-0.004
6.455,0.8281,0.2101,-0.618,-0.004
6.505,0.828,0.2101,-0.6179,-0.004
6.555,0.8279,0.2101,-0.6178,-0.004
6.605,0.8274,0.2101,-0.6173,-0.004
6.655,0.8273,0.2101,-0.6172,-0.004
6.705,0.8272,0.2101,-0.6171,-0.002
6.755,0.827,0.2101,-0.6169,-0.002
6.805,0.8268,0.2101,-0.6167,-0.002
6.855,0.8267,0.2101,-0.6166,-0.002
6.905,0.8264,0.2101,-0.6163,-0.002
6.955,0.8261,0.2101,-0.616,-0.004
7.005,0.826,0.2101,-0.6159,-0.004
7.055,0.8259,0.2101,-0.6158,-0.002
7.105,0.8258,0.2101,-0.6157,-0.002
7.155,0.8252,0.2101,-0.6151,-0.004
7.205,0.8246,0.2101,-0.6145,-0.004
7.255,0.8246,0.2101,-0.6145,-0.002
7.305,0.8242,0.2101,-0.6141,-0.006
7.355,0.8242,0.2101,-0.6141,-0.002
7.405,0.8242,0.2101,-0.6141,-0.002
7.455,0.8236,0.2101,-0.6135,-0.002
7.505,0.8234,0.2101,-0.6133,-0.004
7.555,0.8233,0.2101,-0.6132,-0.004
7.605,0.8233,0.2101,-0.6132,-0.002
7.655,0.8233,0.2101,-0.6132,0.0
7.705,0.8233,0.2101,-0.6132,0.0
7.755,0.8233,0.2101,-0.6132,0.0
7.805,0.8233,0.2101,-0.6132,0.0
7.855,0.8233,0.2101,-0.6132,0.0
7.905,0.8233,0.2101,-0.6132,0.0
7.955,0.8233,0.2101,-0.6132,0.0
8.005,0.8233,0.2101,-0.6132,0.0
8.055,0.8236,0.2101,-0.6135,0.0
8.105,0.8236,0.2101,-0.6135,0.0
8.155,0.8236,0.2101,-0.6135,0.0
8.205,0.8239,0.2101,-0.6138,0.0
8.255,0.8246,0.2101,-0.6145,0.0
8.305,0.8248,0.2101,-0.6147,0.0
8.355,0.825,0.2101,-0.6149,0.004
8.405,0.8265,0.2101,-0.6164,0.004
8.455,0.8268,0.2101,-0.6167,0.006
8.505,0.827,0.2101,-0.6169,0.004
8.555,0.8283,0.2101,-0.6182,0.006
8.605,0.8285,0.2101,-0.6184,0.006
8.655,0.8292,0.2101,-0.6191,0.006
8.705,0.8305,0.2101,-0.6204,0.006
8.755,0.8313,0.2101,-0.6212,0.014
8.805,0.8313,0.2101,-0.6212,0.014
8.855,0.8325,0.2101,-0.6224,0.014
8.905,0.8326,0.2101,-0.6225,0.014
8.955,0.8326,0.2101,-0.6225,0.014
9.005,0.8326,0.2101,-0.6225,0.004
9.055,0.8326,0.2101,-0.6225,0.002
9.105,0.8327,0.2101,-0.6226,0.002
9.155,0.8327,0.2101,-0.6226,0.0
9.205,0.8329,0.2101,-0.6228,0.0
9.255,0.8329,0.2101,-0.6228,0.0
9.305,0.8329,0.2101,-0.6228,0.0
9.355,0.833,0.2101,-0.6229,0.0
9.405,0.833,0.2101,-0.6229,0.0
9.455,0.8331,0.2101,-0.623,0.0
9.505,0.8331,0.2101,-0.623,0.0
9.555,0.8331,0.2101,-0.623,0.0
9.605,0.8331,0.2101,-0.623,0.0
9.655,0.8331,0.2101,-0.623,0.0
9.705,0.8331,0.2101,-0.623,0.0
9.755,0.8331,0.2101,-0.623,0.0
9.805,0.8331,0.2101,-0.623,0.0
9.855,0.8329,0.2101,-0.6228,0.0
9.905,0.8326,0.2101,-0.6225,0.0
9.955,0.8323,0.2101,-0.6222,0.0
10.005,0.8321,0.2101,-0.622,0.0
10.055,0.832,0.2101,-0.6219,-0.002
10.105,0.832,0.2101,-0.6219,-0.002
10.155,0.832,0.2101,-0.6219,-0.002
10.205,0.8319,0.2101,-0.6218,-0.002
10.255,0.8319,0.2101,-0.6218,-0.002
10.305,0.8319,0.2101,-0.6218,-0.002
10.355,0.8318,0.2101,-0.6217,-0.002
10.405,0.8317,0.2101,-0.6216,-0.002
10.455,0.8316,0.2101,-0.6215,-0.002
10.505,0.8316,0.2101,-0.6215,0.0
10.555,0.8316,0.2101,-0.6215,0.0
10.605,0.8316,0.2101,-0.6215,0.0
10.655,0.8314,0.2101,-0.6213,0.0
10.705,0.8312,0.2101,-0.6211,-0.002
10.755,0.8312,0.2101,-0.6211,-0.002
10.805,0.8309,0.2101,-0.6208,-0.002
10.855,0.8309,0.2101,-0.6208,0.0
10.905,0.8308,0.2101,-0.6207,0.0
10.955,0.8306,0.2101,-0.6205,-0.002
11.005,0.8305,0.2101,-0.6204,-0.002
11.055,0.8303,0.2101,-0.6202,-0.004
11.105,0.8302,0.2101,-0.6201,-0.002
11.155,0.8302,0.2101,-0.6201,-0.002
11.205,0.83,0.2101,-0.6199,-0.002
11.255,0.8299,0.2101,-0.6198,-0.002
11.305,0.8299,0.2101,-0.6198,-0.002
11.355,0.8298,0.2101,-0.6197,-0.002
11.405,0.8296,0.2101,-0.6195,-0.002
11.456,0.8294,0.2101,-0.6193,-0.002
11.505,0.829,0.2101,-0.6189,-0.002
11.555,0.8287,0.2101,-0.6186,-0.0039
11.605,0.8286,0.2101,-0.6185,-0.0039
11.655,0.828,0.2101,-0.6179,-0.0039
11.705,0.8276,0.2101,-0.6175,-0.004
11.755,0.8272,0.2101,-0.6171,-0.006
11.805,0.8264,0.2101,-0.6163,-0.008
11.855,0.8262,0.2101,-0.6161,-0.008
11.905,0.8251,0.2101,-0.615,-0.008
11.955,0.8245,0.2101,-0.6144,-0.008
12.005,0.8245,0.2101,-0.6144,-0.008
12.056,0.8234,0.2101,-0.6133,-0.012
12.105,0.8227,0.2101,-0.6126,-0.012
12.155,0.8212,0.2101,-0.6111,-0.0143
12.205,0.8205,0.2101,-0.6104,-0.0143
12.255,0.8196,0.2101,-0.6095,-0.0143
12.305,0.8186,0.2101,-0.6085,-0.018
12.355,0.8176,0.2101,-0.6075,-0.018
12.405,0.8157,0.2101,-0.6056,-0.02
12.455,0.8141,0.2101,-0.604,-0.02
12.505,0.8134,0.2101,-0.6033,-0.02
12.555,0.8118,0.2101,-0.6017,-0.02
12.605,0.8103,0.2101,-0.6002,-0.02
12.655,0.809,0.2101,-0.5989,-0.026
12.705,0.8069,0.2101,-0.5968,-0.03
12.755,0.8056,0.2101,-0.5955,-0.03
12.805,0.8044,0.2101,-0.5943,-0.03
12.855,0.8022,0.2101,-0.5921,-0.03
12.905,0.8007,0.2101,-0.5906,-0.03
12.955,0.7996,0.2101,-0.5895,-0.03
13.005,0.797,0.2101,-0.5869,-0.03
13.055,0.7958,0.2101,-0.5857,-0.026
13.105,0.7943,0.2101,-0.5842,-0.03
13.155,0.7923,0.2101,-0.5822,-0.03
13.205,0.7915,0.2101,-0.5814,-0.03
13.255,0.7897,0.2101,-0.5796,-0.03
13.305,0.7879,0.2101,-0.5778,-0.03
13.355,0.7872,0.2101,-0.5771,-0.03
13.405,0.7854,0.2101,-0.5753,-0.036
13.455,0.7843,0.2101,-0.5742,-0.03
13.505,0.7833,0.2101,-0.5732,-0.03
13.555,0.7813,0.2101,-0.5712,-0.036
13.605,0.7808,0.2101,-0.5707,-0.022
13.655,0.7793,0.2101,-0.5692,-0.03
13.705,0.7783,0.2101,-0.5682,-0.022
13.755,0.7776,0.2101,-0.5675,-0.02
13.805,0.7756,0.2101,-0.5655,-0.022
13.855,0.775,0.2101,-0.5649,-0.02
13.905,0.7743,0.2101,-0.5642,-0.02
13.955,0.7731,0.2101,-0.563,-0.02
14.005,0.7728,0.2101,-0.5627,-0.014
14.057,0.7719,0.2101,-0.5618,-0.0173
14.106,0.7704,0.2101,-0.5603,-0.0173
14.156,0.7697,0.2101,-0.5596,-0.014
14.206,0.7693,0.2101,-0.5592,-0.014
14.256,0.7686,0.2101,-0.5585,-0.014
14.306,0.7676,0.2101,-0.5575,-0.014
14.356,0.7675,0.2101,-0.5574,-0.014
14.406,0.7662,0.2101,-0.5561,-0.014
14.456,0.7655,0.2101,-0.5554,-0.014
14.506,0.7655,0.2101,-0.5554,-0.014
14.556,0.764,0.2101,-0.5539,-0.014
14.606,0.7636,0.2101,-0.5535,-0.014
14.656,0.7631,0.2101,-0.553,-0.014
14.706,0.7616,0.2101,-0.5515,-0.014
14.756,0.7608,0.2101,-0.5507,-0.014
14.806,0.7597,0.2101,-0.5496,-0.016
14.856,0.7592,0.2101,-0.5491,-0.014
14.906,0.7578,0.2101,-0.5477,-0.016
14.956,0.7567,0.2101,-0.5466,-0.022
15.006,0.7554,0.2101,-0.5453,-0.022
15.056,0.7542,0.2101,-0.5441,-0.022
15.106,0.7534,0.2101,-0.5433,-0.022
15.156,0.7519,0.2101,-0.5418,-0.022
15.206,0.7496,0.2101,-0.5395,-0.024
15.256,0.749,0.2101,-0.5389,-0.024
15.306,0.7469,0.2101,-0.5368,-0.026
15.356,0.7458,0.2101,-0.5357,-0.024
15.406,0.7444,0.2101,-0.5343,-0.026
15.456,0.7425,0.2101,-0.5324,-0.028
15.506,0.74,0.2101,-0.5299,-0.03
15.556,0.7387,0.2101,-0.5286,-0.03
15.606,0.7363,0.2101,-0.5262,-0.038
15.656,0.7343,0.2101,-0.5242,-0.038
15.706,0.7325,0.2101,-0.5224,-0.038
15.756,0.7301,0.2101,-0.52,-0.038
15.806,0.7277,0.2101,-0.5176,-0.04
15.856,0.7252,0.2101,-0.5151,-0.048
15.906,0.723,0.2101,-0.5129,-0.048
15.956,0.7211,0.2101,-0.511,-0.044
16.006,0.7186,0.2101,-0.5085,-0.048
16.058,0.7155,0.2101,-0.5054,-0.048
16.107,0.713,0.2101,-0.5029,-0.048
16.157,0.7102,0.2101,-0.5001,-0.05
16.207,0.7079,0.2101,-0.4978,-0.05
16.257,0.7053,0.2101,-0.4952,-0.05
16.307,0.7019,0.2101,-0.4918,-0.051
16.357,0.6993,0.2101,-0.4892,-0.052
16.407,0.6964,0.2101,-0.4863,-0.052
16.457,0.6936,0.2101,-0.4835,-0.056
16.507,0.6917,0.2101,-0.4816,-0.052
16.557,0.6884,0.2101,-0.4783,-0.056
16.607,0.6855,0.2101,-0.4754,-0.056
16.657,0.6823,0.2101,-0.4722,-0.058
16.707,0.6805,0.2101,-0.4704,-0.058
16.757,0.6769,0.2101,-0.4668,-0.058
16.807,0.6746,0.2101,-0.4645,-0.058
16.857,0.6717,0.2101,-0.4616,-0.058
16.907,0.669,0.2101,-0.4589,-0.058
16.957,0.6665,0.2101,-0.4564,-0.058
17.007,0.6643,0.2101,-0.4542,-0.054
17.057,0.6614,0.2101,-0.4513,-0.054
17.107,0.659,0.2101,-0.4489,-0.05
17.157,0.6567,0.2101,-0.4466,-0.05
17.207,0.6545,0.2101,-0.4444,-0.048
17.257,0.6525,0.2101,-0.4424,-0.048
17.307,0.6505,0.2101,-0.4404,-0.046
17.357,0.6485,0.2101,-0.4384,-0.044
17.407,0.6459,0.2101,-0.4358,-0.044
17.457,0.6445,0.2101,-0.4344,-0.044
17.507,0.6422,0.2101,-0.4321,-0.044
17.557,0.6402,0.2101,-0.4301,-0.04
17.607,0.6392,0.2101,-0.4291,-0.04
17.657,0.6371,0.2101,-0.427,-0.04
17.707,0.6349,0.2101,-0.4248,-0.04
17.757,0.6343,0.2101,-0.4242,-0.04
17.807,0.6321,0.2101,-0.422,-0.042
17.857,0.6306,0.2101,-0.4205,-0.04
17.907,0.6289,0.2101,-0.4188,-0.04
