time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
0.352,0.1021,0.6527,0.5506,0.0
0.401,0.1025,0.6527,0.5502,0.0082
0.451,0.1021,0.6527,0.5506,0.0
0.501,0.1021,0.6527,0.5506,0.0
0.551,0.102,0.6527,0.5507,0.0
0.601,0.1021,0.6527,0.5506,0.0
0.651,0.1021,0.6527,0.5506,0.0
0.701,0.1021,0.6527,0.5506,0.0
0.751,0.1021,0.6527,0.5506,0.0
0.801,0.1021,0.6527,0.5506,0.0
0.851,0.1021,0.6527,0.5506,0.0
0.901,0.1021,0.6527,0.5506,0.0
0.951,0.1021,0.6527,0.5506,0.0
1.001,0.1021,0.6527,0.5506,0.0
1.051,0.1021,0.6527,0.5506,0.0
1.101,0.1021,0.6527,0.5506,0.0
1.151,0.102,0.6527,0.5507,0.0
1.201,0.1021,0.6527,0.5506,0.0
1.251,0.1021,0.6527,0.5506,0.0
1.301,0.1021,0.6527,0.5506,0.0
1.351,0.102,0.6527,0.5507,0.0
1.406,0.102,0.6527,0.5507,0.0
1.455,0.102,0.6527,0.5507,0.0
1.505,0.102,0.6527,0.5507,0.0
1.555,0.102,0.6527,0.5507,0.0
1.605,0.102,0.6527,0.5507,0.0
1.655,0.102,0.6527,0.5507,0.0
1.705,0.102,0.6527,0.5507,0.0
1.755,0.102,0.6527,0.5507,0.0
1.805,0.102,0.6527,0.5507,0.0
1.855,0.1019,0.6527,0.5508,0.0
1.905,0.1019,0.6527,0.5508,0.0
1.955,0.1019,0.6527,0.5508,0.0
2.005,0.1019,0.6527,0.5508,0.0
2.055,0.1019,0.6527,0.5508,0.0
2.105,0.1018,0.6527,0.5509,0.0
2.155,0.1018,0.6527,0.5509,0.0
2.205,0.1018,0.6527,0.5509,0.0
2.255,0.1017,0.6527,0.551,0.0
2.305,0.1016,0.6527,0.5511,0.0
2.355,0.1014,0.6527,0.5513,0.0
2.405,0.1013,0.6527,0.5514,-0.002
2.455,0.1012,0.6527,0.5515,-0.002
2.505,0.101,0.6527,0.5517,-0.002
2.555,0.1007,0.6527,0.552,-0.002
2.605,0.1004,0.6527,0.5523,-0.002
2.655,0.1004,0.6527,0.5523,-0.002
2.705,0.1003,0.6527,0.5524,-0.002
2.755,0.0999,0.6527,0.5528,-0.004
2.805,0.0997,0.6527,0.553,-0.004
2.855,0.0995,0.6527,0.5532,-0.004
2.905,0.099,0.6527,0.5537,-0.004
2.955,0.0988,0.6527,0.5539,-0.004
3.005,0.0985,0.6527,0.5542,-0.004
3.055,0.0984,0.6527,0.5543,-0.004
3.105,0.0984,0.6527,0.5543,-0.004
3.155,0.0984,0.6527,0.5543,-0.004
3.205,0.0984,0.6527,0.5543,-0.004
3.255,0.0984,0.6527,0.5543,-0.002
3.305,0.0984,0.6527,0.5543,0.0
3.355,0.0984,0.6527,0.5543,0.0
3.405,0.0984,0.6527,0.5543,0.0
3.455,0.0989,0.6527,0.5538,0.0
3.505,0.0994,0.6527,0.5533,0.0
3.555,0.1002,0.6527,0.5525,0.0
3.605,0.1015,0.6527,0.5512,0.0
3.655,0.1025,0.6527,0.5502,0.01
3.705,0.1043,0.6527,0.5484,0.01
3.755,0.1061,0.6527,0.5466,0.016
3.805,0.1082,0.6527,0.5445,0.02
3.855,0.1103,0.6527,0.5424,0.026
3.905,0.1132,0.6527,0.5395,0.036
3.955,0.1158,0.6527,0.5369,0.036
4.005,0.1191,0.6527,0.5336,0.042
4.055,0.1236,0.6527,0.5291,0.042
4.105,0.128,0.6527,0.5247,0.052
4.155,0.1325,0.6527,0.5202,0.058
4.205,0.1377,0.6527,0.515,0.066
4.255,0.1433,0.6527,0.5094,0.088
4.305,0.1495,0.6527,0.5032,0.09
4.355,0.1558,0.6527,0.4969,0.09
4.405,0.1631,0.6527,0.4896,0.104
4.455,0.1698,0.6527,0.4829,0.112
4.505,0.1778,0.6527,0.4749,0.124
4.555,0.1855,0.6527,0.4672,0.126
4.605,0.1934,0.6527,0.4593,0.134
4.655,0.2016,0.6527,0.4511,0.146
4.705,0.2104,0.6527,0.4423,0.154
4.755,0.2188,0.6527,0.4339,0.158
4.805,0.2272,0.6527,0.4255,0.16
4.855,0.2365,0.6527,0.4162,0.164
4.905,0.2456,0.6527,0.4071,0.168
4.955,0.255,0.6527,0.3977,0.168
5.005,0.2644,0.6527,0.3883,0.176
5.055,0.2744,0.6527,0.3783,0.182
5.105,0.2846,0.6527,0.3681,0.186
5.155,0.2949,0.6527,0.3578,0.188
5.205,0.3043,0.6527,0.3484,0.188
5.255,0.3148,0.6527,0.3379,0.188
5.305,0.3252,0.6527,0.3275,0.2
5.355,0.335,0.6527,0.3177,0.2
5.405,0.3457,0.6527,0.307,0.204
