time_s,depth_m,depth_setpoint_m,depth_error_m,velocity_mps
7.554,0.3529,0.7,0.3471,0.096
7.604,0.3571,0.7,0.3429,0.096
7.654,0.3618,0.7,0.3382,0.094
7.704,0.3667,0.7,0.3333,0.094
7.754,0.3708,0.7,0.3292,0.094
7.804,0.3758,0.7,0.3242,0.094
7.854,0.3803,0.7,0.3197,0.09
7.904,0.3851,0.7,0.3149,0.094
7.954,0.3896,0.7,0.3104,0.09
8.004,0.3938,0.7,0.3062,0.09
8.054,0.3984,0.7,0.3016,0.092
8.104,0.4031,0.7,0.2969,0.092
8.154,0.407,0.7,0.293,0.09
8.204,0.4119,0.7,0.2881,0.092
8.254,0.4168,0.7,0.2832,0.092
8.304,0.4207,0.7,0.2793,0.092
8.354,0.4251,0.7,0.2749,0.09
8.404,0.4297,0.7,0.2703,0.092
8.454,0.4335,0.7,0.2665,0.092
8.504,0.4381,0.7,0.2619,0.092
8.554,0.4423,0.7,0.2577,0.088
8.604,0.4469,0.7,0.2531,0.092
8.654,0.4506,0.7,0.2494,0.088
8.704,0.4541,0.7,0.2459,0.084
8.754,0.4589,0.7,0.2411,0.088
8.804,0.462,0.7,0.238,0.084
8.854,0.4663,0.7,0.2337,0.084
8.904,0.47,0.7,0.23,0.084
8.954,0.4739,0.7,0.2261,0.078
9.004,0.477,0.7,0.223,0.074
9.054,0.4807,0.7,0.2193,0.074
9.104,0.4836,0.7,0.2164,0.074
9.154,0.487,0.7,0.213,0.074
9.204,0.49,0.7,0.21,0.068
9.254,0.4934,0.7,0.2066,0.068
9.304,0.497,0.7,0.203,0.068
9.354,0.4992,0.7,0.2008,0.068
9.404,0.503,0.7,0.197,0.068
9.454,0.5047,0.7,0.1953,0.068
9.504,0.5076,0.7,0.1924,0.06
9.554,0.5102,0.7,0.1898,0.06
9.604,0.5125,0.7,0.1875,0.058
9.654,0.5154,0.7,0.1846,0.058
9.704,0.5173,0.7,0.1827,0.052
9.754,0.5196,0.7,0.1804,0.046
9.804,0.5221,0.7,0.1779,0.05
9.854,0.5238,0.7,0.1762,0.046
9.904,0.5255,0.7,0.1745,0.046
9.954,0.5277,0.7,0.1723,0.046
10.004,0.5292,0.7,0.1708,0.044
10.054,0.5309,0.7,0.1691,0.038
10.104,0.5323,0.7,0.1677,0.034
10.154,0.5341,0.7,0.1659,0.034
10.204,0.535,0.7,0.165,0.034
10.254,0.5365,0.7,0.1635,0.034
10.304,0.5382,0.7,0.1618,0.034
10.354,0.5391,0.7,0.1609,0.03
10.404,0.541,0.7,0.159,0.03
10.454,0.5429,0.7,0.1571,0.034
10.504,0.5438,0.7,0.1562,0.03
10.554,0.5459,0.7,0.1541,0.034
10.604,0.5473,0.7,0.1527,0.03
10.654,0.5492,0.7,0.1508,0.034
10.704,0.5511,0.7,0.1489,0.038
10.754,0.5538,0.7,0.1462,0.038
10.804,0.5551,0.7,0.1449,0.038
10.854,0.5574,0.7,0.1426,0.038
10.904,0.5597,0.7,0.1403,0.038
10.954,0.562,0.7,0.138,0.042
11.004,0.5644,0.7,0.1356,0.046
11.054,0.5672,0.7,0.1328,0.046
11.104,0.5703,0.7,0.1297,0.046
11.154,0.5727,0.7,0.1273,0.048
11.204,0.5765,0.7,0.1235,0.048
11.254,0.5794,0.7,0.1206,0.048
11.304,0.5823,0.7,0.1177,0.056
11.354,0.5855,0.7,0.1145,0.058
11.404,0.589,0.7,0.111,0.058
11.454,0.593,0.7,0.107,0.062
11.504,0.5969,0.7,0.1031,0.064
11.554,0.6012,0.7,0.0988,0.07
11.604,0.6047,0.7,0.0953,0.07
11.654,0.6084,0.7,0.0916,0.07
11.704,0.6131,0.7,0.0869,0.074
11.754,0.6164,0.7,0.0836,0.074
11.804,0.621,0.7,0.079,0.078
11.854,0.6252,0.7,0.0748,0.08
11.904,0.6295,0.7,0.0705,0.084
11.954,0.6336,0.7,0.0664,0.084
12.004,0.6382,0.7,0.0618,0.084
12.055,0.6416,0.7,0.0584,0.084
12.104,0.6462,0.7,0.0538,0.086
12.154,0.6506,0.7,0.0494,0.086
12.204,0.6549,0.7,0.0451,0.086
12.254,0.6588,0.7,0.0412,0.086
12.304,0.6634,0.7,0.0366,0.086
12.354,0.6669,0.7,0.0331,0.086
12.404,0.671,0.7,0.029,0.086
12.454,0.6749,0.7,0.0251,0.082
12.504,0.6794,0.7,0.0206,0.086
12.554,0.6838,0.7,0.0162,0.086
12.604,0.6876,0.7,0.0124,0.082
12.654,0.6916,0.7,0.0084,0.08
12.704,0.6955,0.7,0.0045,0.08
12.754,0.6987,0.7,0.0013,0.078
12.804,0.7031,0.7,-0.0031,0.08
12.854,0.7062,0.7,-0.0062,0.078
12.904,0.7103,0.7,-0.0103,0.08
12.954,0.7146,0.7,-0.0146,0.08
13.004,0.7175,0.7,-0.0175,0.078
13.054,0.7207,0.7,-0.0207,0.078
13.104,0.7249,0.7,-0.0249,0.078
13.154,0.7274,0.7,-0.0274,0.064
13.204,0.7304,0.7,-0.0304,0.064
13.254,0.7343,0.7,-0.0343,0.064
13.304,0.7364,0.7,-0.0364,0.064
13.354,0.7402,0.7,-0.0402,0.064
13.404,0.7424,0.7,-0.0424,0.06
13.454,0.745,0.7,-0.045,0.06
13.504,0.7477,0.7,-0.0477,0.054
13.554,0.7508,0.7,-0.0508,0.054
13.604,0.7527,0.7,-0.0527,0.054
13.654,0.7556,0.7,-0.0556,0.054
13.704,0.7583,0.7,-0.0583,0.054
13.754,0.7599,0.7,-0.0599,0.054
13.804,0.7607,0.7,-0.0607,0.052
13.854,0.7623,0.7,-0.0623,0.052
13.904,0.763,0.7,-0.063,0.038
13.954,0.763,0.7,-0.063,0.032
14.004,0.763,0.7,-0.063,0.032
14.056,0.763,0.7,-0.063,0.016
14.105,0.763,0.7,-0.063,0.014
14.155,0.763,0.7,-0.063,0.0
14.205,0.763,0.7,-0.063,0.0
14.255,0.763,0.7,-0.063,0.0
14.305,0.7624,0.7,-0.0624,0.0
14.355,0.7612,0.7,-0.0612,0.0
