time_s,actuator_mm,actuator_setpoint_mm,depth_filtered_m,depth_setpoint_m,motor_cmd
0.352,16.85,50.0,0.0004,0.5232,0.0
0.401,16.899,50.0,0.0004,0.5232,0.0
0.451,16.874,50.0,-0.0002,0.5232,0.0
0.501,16.85,50.0,-0.0002,0.5232,0.0
0.551,16.874,50.0,-0.0002,0.5232,0.0
0.601,16.947,50.0,-0.0001,0.5232,0.0
0.651,16.825,50.0,-0.0001,0.5232,0.0
0.701,16.899,50.0,0.0,0.5232,0.0
0.751,16.825,50.0,0.0,0.5232,0.0
0.801,16.874,50.0,0.0001,0.5232,0.0
0.851,16.899,50.0,0.0,0.5232,0.0
0.901,16.947,50.0,0.0001,0.5232,0.0
0.951,16.923,50.0,0.0001,0.5232,0.0
1.001,16.85,50.0,0.0001,0.5232,0.0
1.051,16.85,50.0,0.0001,0.5232,0.0
1.101,16.874,50.0,0.0001,0.5232,0.0
1.151,16.85,50.0,0.0001,0.5232,0.0
1.201,16.923,50.0,0.0001,0.5232,0.0
1.251,16.899,50.0,0.0001,0.5232,0.0
1.301,16.899,56.454063415527344,0.0001,0.5232,0.0
1.351,16.874,56.454063415527344,0.0001,0.5232,12.0
1.406,17.485,56.454063415527344,0.0001,0.5232,12.0
1.455,18.413,56.454063415527344,0.0001,0.5232,12.0
1.505,19.414,56.454063415527344,0.0001,0.5232,12.0
1.555,20.464,56.454063415527344,0.0001,0.5232,12.0
1.605,21.368,56.454063415527344,0.0001,0.5232,12.0
1.655,22.418,56.454063415527344,0.0001,0.5232,12.0
1.705,23.321,56.454063415527344,0.0,0.5232,12.0
1.755,24.249,56.454063415527344,0.0,0.5232,12.0
1.805,25.299,56.454063415527344,0.0,0.5232,12.0
1.855,26.349,56.454063415527344,0.0,0.5232,12.0
1.905,27.253,56.454063415527344,0.0,0.5232,12.0
1.955,28.376,56.454063415527344,-0.0001,0.5232,12.0
2.005,29.231,56.454063415527344,-0.0001,0.5232,12.0
2.055,30.305,56.454063415527344,-0.0001,0.5232,12.0
2.105,31.282,56.454063415527344,-0.0004,0.5232,12.0
2.155,32.283,56.454063415527344,-0.0007,0.5232,12.0
2.205,33.407,56.454063415527344,-0.0009,0.5232,12.0
2.255,34.286,56.454063415527344,-0.0011,0.5232,12.0
2.305,35.36,54.954063415527344,-0.0012,0.5232,12.0
2.355,36.337,54.954063415527344,-0.0014,0.5232,12.0
2.405,37.411,54.954063415527344,-0.0016,0.5232,12.0
2.455,38.535,54.954063415527344,-0.0016,0.5232,12.0
2.505,39.56,54.954063415527344,-0.0017,0.5232,12.0
2.555,40.537,54.954063415527344,-0.0018,0.5232,12.0
2.605,41.636,54.954063415527344,-0.0018,0.5232,12.0
2.655,42.735,54.954063415527344,-0.0018,0.5232,12.0
2.705,43.663,54.954063415527344,-0.0019,0.5232,12.0
2.755,44.933,54.954063415527344,-0.0019,0.5232,11.670588235294117
2.805,44.103,54.954063415527344,-0.002,0.5232,11.670588235294117
2.855,46.74,54.954063415527344,-0.0021,0.5232,10.823529411764707
2.905,46.374,54.954063415527344,-0.0021,0.5232,10.823529411764707
2.955,48.254,54.954063415527344,-0.0021,0.5232,10.16470588235294
3.005,48.962,54.954063415527344,-0.0023,0.5232,10.305882352941177
3.055,48.571,54.954063415527344,-0.0024,0.5232,10.305882352941177
3.105,50.525,54.954063415527344,-0.0025,0.5232,9.31764705882353
3.155,51.062,54.954063415527344,-0.0027,0.5232,9.31764705882353
3.205,51.258,54.954063415527344,-0.0028,0.5232,8.705882352941176
3.255,51.526,54.954063415527344,-0.0028,0.5232,8.705882352941176
3.305,52.161,54.791786193847656,-0.003,0.5232,8.470588235294118
3.355,52.503,54.791786193847656,-0.0031,0.5232,8.470588235294118
3.405,52.723,54.791786193847656,-0.0033,0.5232,8.047058823529412
3.455,53.04,54.791786193847656,-0.0034,0.5232,8.047058823529412
3.505,53.284,54.791786193847656,-0.0035,0.5232,7.858823529411764
3.555,53.48,54.791786193847656,-0.0039,0.5232,7.7176470588235295
3.605,53.504,54.791786193847656,-0.004,0.5232,7.7176470588235295
3.655,53.846,54.791786193847656,-0.0043,0.5232,7.529411764705882
3.705,53.919,54.791786193847656,-0.0048,0.5232,7.529411764705882
3.755,54.017,54.791786193847656,-0.0048,0.5232,7.435294117647059
3.805,54.164,54.791786193847656,-0.0052,0.5232,7.435294117647059
3.855,54.335,54.791786193847656,-0.0056,0.5232,7.341176470588235
3.905,54.383,54.791786193847656,-0.0056,0.5232,7.341176470588235
3.955,54.628,54.791786193847656,-0.0056,0.5232,7.247058823529412
4.005,54.554,54.791786193847656,-0.0056,0.5232,7.2
4.055,54.774,54.791786193847656,-0.0056,0.5232,7.2
4.105,54.75,54.791786193847656,-0.0056,0.5232,7.152941176470589
4.155,54.896,54.791786193847656,-0.0056,0.5232,7.152941176470589
4.205,54.921,54.791786193847656,-0.0056,0.5232,0.0
4.255,54.945,54.791786193847656,-0.0052,0.5232,0.0
4.305,55.018,53.291786193847656,-0.0048,0.5232,-7.105882352941176
4.355,55.043,53.291786193847656,-0.0046,0.5232,-7.105882352941176
4.405,54.872,53.291786193847656,-0.004,0.5232,-7.7176470588235295
4.455,54.554,53.291786193847656,-0.0032,0.5232,-7.7176470588235295
4.505,54.335,53.291786193847656,-0.0025,0.5232,-7.670588235294118
4.555,53.089,53.291786193847656,-0.0018,0.5232,-7.529411764705882
4.605,53.724,53.291786193847656,-0.0004,0.5232,-7.529411764705882
4.655,53.016,53.291786193847656,-0.0001,0.5232,7.152941176470589
4.705,52.845,53.291786193847656,0.0008,0.5232,7.152941176470589
4.755,53.065,53.291786193847656,0.002,0.5232,7.152941176470589
4.805,53.187,53.291786193847656,0.003,0.5232,7.247058823529412
4.855,53.236,53.291786193847656,0.0043,0.5232,7.247058823529412
4.905,53.236,53.291786193847656,0.0052,0.5232,7.105882352941176
4.955,53.358,53.291786193847656,0.0063,0.5232,7.105882352941176
5.005,53.407,53.291786193847656,0.0074,0.5232,0.0
5.055,53.407,53.291786193847656,0.0087,0.5232,0.0
5.105,53.578,53.291786193847656,0.01,0.5232,-7.105882352941176
5.155,53.382,53.291786193847656,0.0113,0.5232,-7.105882352941176
5.205,53.358,53.291786193847656,0.013,0.5232,-7.152941176470589
5.255,52.943,53.291786193847656,0.0147,0.5232,-7.105882352941176
5.305,52.845,51.791786193847656,0.0165,0.5232,-7.105882352941176
5.355,52.454,51.791786193847656,0.0183,0.5232,7.2
5.405,52.112,51.791786193847656,0.0204,0.5232,7.2
5.455,52.308,51.791786193847656,0.023,0.5232,-7.294117647058823
5.505,52.576,51.791786193847656,0.0252,0.5232,-7.294117647058823
5.555,51.917,51.791786193847656,0.0276,0.5232,-7.247058823529412
5.605,51.917,51.791786193847656,0.0302,0.5232,-7.247058823529412
5.655,51.331,51.791786193847656,0.0333,0.5232,-7.105882352941176
5.705,51.844,51.791786193847656,0.0361,0.5232,-7.105882352941176
5.755,51.087,51.791786193847656,0.0391,0.5232,7.247058823529412
5.805,51.038,51.791786193847656,0.0426,0.5232,0.0
5.855,51.062,51.791786193847656,0.0456,0.5232,0.0
5.905,50.842,51.791786193847656,0.0493,0.5232,7.341176470588235
5.955,51.16,51.791786193847656,0.0529,0.5232,7.341176470588235
6.005,51.209,51.791786193847656,0.0568,0.5232,7.341176470588235
6.055,51.38,51.791786193847656,0.0601,0.5232,7.294117647058823
6.105,51.502,51.791786193847656,0.0636,0.5232,7.294117647058823
6.155,51.551,51.791786193847656,0.0675,0.5232,7.2
6.205,51.844,51.791786193847656,0.0718,0.5232,7.152941176470589
6.255,51.844,51.791786193847656,0.0753,0.5232,7.152941176470589
6.305,51.819,53.291786193847656,0.0784,0.5232,0.0
6.355,51.844,53.291786193847656,0.0826,0.5232,0.0
6.405,51.99,53.291786193847656,0.0867,0.5232,7.623529411764705
6.455,51.99,53.291786193847656,0.0906,0.5232,7.623529411764705
6.505,52.234,53.291786193847656,0.0941,0.5232,7.529411764705882
6.555,52.308,53.291786193847656,0.0973,0.5232,7.529411764705882
6.605,52.576,53.291786193847656,0.1012,0.5232,7.435294117647059
6.655,51.282,53.291786193847656,0.1044,0.5232,7.435294117647059
6.705,52.576,53.291786193847656,0.1077,0.5232,7.341176470588235
6.755,52.845,53.291786193847656,0.1107,0.5232,7.811764705882353
6.805,53.089,53.291786193847656,0.1137,0.5232,7.811764705882353
6.855,53.382,53.291786193847656,0.1165,0.5232,7.247058823529412
6.905,53.529,53.291786193847656,0.1198,0.5232,7.247058823529412
6.955,53.504,53.291786193847656,0.1223,0.5232,-7.105882352941176
7.005,53.455,53.291786193847656,0.1242,0.5232,-7.152941176470589
7.055,53.236,53.291786193847656,0.1272,0.5232,-7.152941176470589
7.105,53.114,53.291786193847656,0.1296,0.5232,-7.105882352941176
7.155,52.601,53.291786193847656,0.1311,0.5232,-7.105882352941176
7.205,52.479,53.291786193847656,0.1333,0.5232,7.105882352941176
7.255,52.405,53.291786193847656,0.1354,0.5232,7.341176470588235
7.305,52.43,54.791786193847656,0.1366,0.5232,7.341176470588235
7.355,52.674,54.791786193847656,0.1383,0.5232,7.3882352941176475
7.405,52.918,54.791786193847656,0.14,0.5232,7.3882352941176475
7.455,53.04,54.791786193847656,0.141,0.5232,7.858823529411764
7.505,53.065,54.791786193847656,0.1425,0.5232,7.764705882352941
7.555,53.089,54.791786193847656,0.1441,0.5232,7.764705882352941
7.605,53.651,54.791786193847656,0.1449,0.5232,7.7176470588235295
7.655,53.797,54.791786193847656,0.1463,0.5232,7.7176470588235295
7.705,53.773,54.791786193847656,0.148,0.5232,7.482352941176471
7.755,54.115,54.791786193847656,0.1483,0.5232,7.482352941176471
7.805,54.335,54.791786193847656,0.1497,0.5232,7.435294117647059
7.855,54.408,54.791786193847656,0.1512,0.5232,7.435294117647059
7.905,54.31,54.791786193847656,0.1527,0.5232,7.247058823529412
7.955,54.603,54.791786193847656,0.154,0.5232,7.247058823529412
8.005,54.847,54.791786193847656,0.1548,0.5232,7.247058823529412
8.055,54.969,54.791786193847656,0.1564,0.5232,7.152941176470589
8.105,53.407,54.791786193847656,0.1578,0.5232,7.152941176470589
8.155,54.921,54.791786193847656,0.1592,0.5232,-7.105882352941176
8.205,55.092,54.791786193847656,0.1608,0.5232,-7.105882352941176
8.255,54.799,54.791786193847656,0.1626,0.5232,-7.105882352941176
8.305,54.774,53.291786193847656,0.1647,0.5232,-7.105882352941176
8.355,54.505,53.291786193847656,0.166,0.5232,0.0
8.405,54.383,53.291786193847656,0.1679,0.5232,0.0
